case	op	operand	verts	tris	clean	introduced	nonmanifold_edges	nonmanifold_verts	boundary_edges	misoriented_pairs	improper_pairs	unresolved_pairs	duplicate_tris	index_degenerate	collinear_degenerate	vertex_twins	unreferenced_verts
F0071	161_union	b	33	62	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0071	162_union	a	1933	3862	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0071	162_union	b	1152	2300	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0071	163_union	a	1936	3868	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0071	163_union	b	1174	2344	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	164_union	a	2160	4316	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	164_union	b	4688	9372	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	165_union	a	4078	8152	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	165_union	b	950	1896	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	166_union	a	2404	4806	false	false	4/4	0/0	2/2	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	166_union	b	34	64	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	167_union	a	2428	4853	false	false	2/2	0/0	1/1	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	167_union	b	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	168_union	a	2462	4927	false	false	12/12	0/0	5/5	0/0	2/2	0/0	0/0	0/0	0/0	0/0	0/0
F0072	168_union	b	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	169_union	a	2464	4927	false	false	5/5	0/0	2/2	0/0	2/2	0/0	0/0	0/0	0/0	0/0	0/0
F0072	169_union	b	42	80	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	170_union	a	5494	10989	false	false	8/8	1/1	5/5	0/0	3/3	0/0	0/0	0/0	0/0	0/0	0/0
F0072	170_union	b	2742	5480	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	171_union	a	5504	11007	false	false	6/6	0/0	3/3	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	171_union	b	705	1406	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	172_union	a	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	172_union	b	41	78	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	173_union	a	1058	2112	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	173_union	b	876	1748	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	174_union	a	641	1278	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	174_union	b	49	94	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	175_union	a	868	1732	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	175_union	b	2166	4328	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	176_union	a	2922	5840	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	176_union	b	320	636	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	177_union	a	1978	3952	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	177_union	b	2704	5404	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	178_union	a	4560	9116	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	178_union	b	338	672	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	179_union	a	3132	6260	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	179_union	b	32	60	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	180_union	a	3143	6282	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	180_union	b	31	58	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	181_union	a	3162	6320	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0072	181_union	b	21	38	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0086	280_subtract	a	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0086	280_subtract	b	14	24	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0087	281_subtract	a	37	70	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0087	281_subtract	b	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0088	282_subtract	a	37	70	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0088	282_subtract	b	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0089	283_subtract	a	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0089	283_subtract	b	14	24	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0090	284_subtract	a	34	64	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0090	284_subtract	b	10	16	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0091	285_union	a	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0091	285_union	b	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0094	288_union	a	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0094	288_union	b	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0007	291_subtract	a	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0007	291_subtract	b	20	36	false	true	0/0	0/0	0/0	3/0	1/0	0/0	0/0	0/0	0/0	0/0	0/0
R0012	295_subtract	a	2464	4924	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0012	295_subtract	b	6374	12744	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0013	296_union	a	369	734	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0013	296_union	b	1818	3632	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0014	297_subtract	a	2478	4952	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0014	297_subtract	b	302	600	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0015	299_union	a	32	60	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0015	299_union	b	49	94	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0015	300_union	a	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0015	300_union	b	195	386	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0021	304_union	a	58	112	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0021	304_union	b	63	122	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0022	305_subtract	a	3050	6096	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0022	305_subtract	b	409	814	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0023	306_subtract	a	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0023	306_subtract	b	20	36	false	true	0/0	0/0	0/0	6/0	1/0	0/0	0/0	0/0	0/0	0/0	0/0
R0023	307_union	a	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0023	307_union	b	20	36	false	true	0/0	0/0	0/0	3/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0024	308_union	a	2490	4976	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0024	308_union	b	345	686	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0025	309_union	a	1682	3360	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0025	309_union	b	377	750	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0026	310_union	a	38	72	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0026	310_union	b	212	420	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0027	311_subtract	a	252	500	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0027	311_subtract	b	4048	8092	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0027	312_subtract	a	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0027	312_subtract	b	201	398	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0029	314_union	a	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0029	314_union	b	14	24	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0031	317_subtract	a	1648	3292	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0031	317_subtract	b	2210	4416	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0034	319_subtract	a	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0034	319_subtract	b	25	46	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0038	324_subtract	a	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0038	324_subtract	b	20	36	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0038	325_subtract	a	27	50	false	true	0/0	0/0	0/0	7/0	2/0	0/0	0/0	0/0	0/0	0/0	0/0
R0038	325_subtract	b	72	140	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0046	335_subtract	a	29	54	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0046	335_subtract	b	26	48	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0046	336_subtract	a	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0046	336_subtract	b	128	252	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0051	339_subtract	a	37	70	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0051	339_subtract	b	158	312	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0053	340_union	a	48	92	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0053	340_union	b	16	28	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0055	341_subtract	a	51	98	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0055	341_subtract	b	76	148	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0057	343_union	a	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0057	343_union	b	61	118	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0058	344_subtract	a	3208	6412	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0058	344_subtract	b	6870	13736	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0058	345_union	a	4737	9470	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0058	345_union	b	5797	11590	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0059	346_union	a	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0059	346_union	b	86	168	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0063	351_subtract	a	71	138	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0063	351_subtract	b	62	120	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0067	356_union	a	27	50	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0067	356_union	b	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0070	357_subtract	a	748	1492	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0070	357_subtract	b	720	1436	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0070	358_subtract	a	54	104	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0070	358_subtract	b	51	96	false	true	0/0	0/0	6/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0072	359_union	a	105	206	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0072	359_union	b	64	124	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0076	364_subtract	a	910	1816	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0076	364_subtract	b	3206	6408	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0079	366_union	a	26	48	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0079	366_union	b	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0079	367_subtract	a	36	68	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0079	367_subtract	b	26	48	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0081	368_subtract	a	4046	8088	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0081	368_subtract	b	740	1476	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0086	372_union	a	8	12	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0086	372_union	b	27	50	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0088	374_subtract	a	717	1426	false	true	0/0	0/0	12/0	0/0	1/0	0/0	0/0	0/0	0/0	0/0	0/0
R0088	374_subtract	b	3036	6068	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0088	375_subtract	a	49	94	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0088	375_subtract	b	32	60	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0089	376_union	a	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0089	376_union	b	10	16	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0089	377_union	a	30	56	false	true	0/0	0/0	0/0	6/0	1/0	0/0	0/0	0/0	0/0	0/0	0/0
R0089	377_union	b	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0092	381_subtract	a	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0092	381_subtract	b	37	70	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0098	385_subtract	a	3270	6536	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0098	385_subtract	b	642	1280	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0099	386_subtract	a	39	74	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
R0099	386_subtract	b	24	44	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
